province,year,poverty_rate,fitted_pooled,fitted_fe,fitted_re,resid_fe
GORONTALO,2022,14.645,10.744999332785973,11.874404497741807,11.992890542633873,-0.014644831777046008
SULAWESI BARAT,2022,11.23,13.140877423902587,12.38399592949881,12.830986029251548,0.00909158801727905
MALUKU,2022,15.875,11.766656928602082,9.915282152553395,9.813630151282354,-0.4395813283906964
MALUKU UTARA,2022,6.130000000000001,11.914352781785205,11.133774644949966,11.22826198951514,-0.1907486008862911
PAPUA BARAT,2022,21.21,17.624195084379203,13.061658706092647,13.941430674774317,0.022883664320611175
PAPUA BARAT DAYA,2022,19.14,17.569164597903047,12.98788912158469,13.849468758344216,0.22933857867034213
PAPUA,2022,22.325,23.998601904344284,19.573716872296714,21.8685992751887,-0.22519908388750132
PAPUA SELATAN,2022,22.955,23.998601904344284,19.573716872296714,21.8685992751887,0.21152414907667172
PAPUA TENGAH,2022,27.08,23.998601904344284,19.573716872296714,21.8685992751887,-0.17312046885892762
PAPUA PEGUNUNGAN,2022,28.11,23.998601904344284,19.573716872296714,21.8685992751887,-0.03124067393366836
ACEH,2023,13.545,9.33075290789656,9.051326093805898,8.565922026281207,0.08623690822477492
SUMATERA UTARA,2023,7.67,9.394728411734079,8.658134298002821,8.238178637602857,0.0799916187632892
SUMATERA BARAT,2023,5.6850000000000005,10.329894116860238,9.470488272110494,9.04447999289524,0.008585687740918502
RIAU,2023,6.52,6.135842359164293,9.73860774882306,9.405067614875158,0.035960742073990914
JAMBI,2023,7.42,8.604821188687417,10.580503543296185,10.367097136070313,0.1281343759334952
SUMATERA SELATAN,2023,11.145,8.540750773541504,10.618734148768805,10.386220227003832,0.14217961403520185
BENGKULU,2023,13.28,9.828718396123712,10.326072929900427,10.154015721606577,-0.025230833835776068
LAMPUNG,2023,10.864999999999998,10.001489050230923,11.451635848038276,11.380060022754314,-0.010925044512857696
KEP. BANGKA BELITUNG,2023,4.8,8.440756888966305,12.781091422234649,13.01727535464726,0.055375190502330085
KEP. RIAU,2023,5.235,4.165023480041455,7.013902316555452,6.011984131025251,0.01984417076907441
DKI JAKARTA,2023,4.29,-1.6523372696767211,4.0337544078555325,2.4646071165381898,0.18297412486393227
JAWA BARAT,2023,7.35,7.782946549773875,9.272390818109034,8.559486633967026,0.0057951415919017535
JAWA TENGAH,2023,10.175,9.583806491743267,10.713300303908728,10.261305191020561,0.08079971822447796
DI YOGYAKARTA,2023,10.719999999999999,7.0719725775824,5.78995336406733,4.608256199947391,-0.1633973111599758
JAWA TIMUR,2023,9.955,9.041091010514684,10.29067458642728,9.744793115143452,0.04071827547921103
BANTEN,2023,5.9350000000000005,6.926074154446681,9.057257960262426,8.312083055351046,0.1383932766452851
BALI,2023,4.025,7.169116326175278,7.572794965121794,6.819088192765008,0.15446435189559793
NUSA TENGGARA BARAT,2023,12.879999999999999,11.921821404678596,11.48435868345613,11.324061592536417,0.37707417085740325
NUSA TENGGARA TIMUR,2023,19.490000000000002,16.420075829582828,13.51084779523952,14.093579921601595,0.016098356675870562
KALIMANTAN BARAT,2023,6.48,12.08633181698395,13.160889543418321,13.425734536285923,0.21294492357582584
KALIMANTAN TENGAH,2023,5.1850000000000005,7.406488337649208,10.693369262700593,10.508907745819627,0.015367871566610347
KALIMANTAN SELATAN,2023,4.154999999999999,7.71200069907573,10.546563840581051,10.311781737306362,0.1408731408978543
KALIMANTAN TIMUR,2023,5.8100000000000005,5.564140147302922,8.17026303475398,7.416937630575212,0.1649050948790709
KALIMANTAN UTARA,2023,5.915,10.291668827928014,11.740838983367283,11.971402714416158,0.036157826619945155
SULAWESI UTARA,2023,7.04,5.109414246550273,7.678814635864072,6.886068847481901,0.08689961273923963
SULAWESI TENGAH,2023,11.725,11.542737233443162,11.324075727948632,11.576190077076298,0.1278872501238979
SULAWESI SELATAN,2023,8.235,6.727369199983947,8.827352233697994,8.188398380112396,0.2494734198142421
SULAWESI TENGGARA,2023,11.030000000000001,9.323928248147716,9.037863337895416,8.747790063679837,0.12452343535260546
GORONTALO,2023,14.51,11.378085574237488,11.560814851670834,11.670080660135369,0.16394481429394148
SULAWESI BARAT,2023,11.100000000000001,11.809419788655468,12.1018206994516,12.466970246024516,0.16126681806450271
MALUKU,2023,16.1,10.667675524137849,9.599908252433714,9.44695340527386,0.10079257172898615
MALUKU UTARA,2023,6.245,11.882075394743744,10.899399831562672,10.973482949162914,0.1586262125009963
PAPUA BARAT,2023,20.79,16.78006730531704,12.753422252695543,13.567445307884661,-0.08887988228228316
PAPUA BARAT DAYA,2023,18.72,16.72729941423396,12.682685727365232,13.479264433959848,0.11454197288980872
PAPUA,2023,22.060000000000002,22.366807498991434,18.98150754265766,21.210413529957897,0.10201024575157014
PAPUA SELATAN,2023,22.69,22.366807498991434,18.98150754265766,21.210413529957897,0.5387334787157361
PAPUA TENGAH,2023,26.815,22.366807498991434,18.98150754265766,21.210413529957897,0.15408886078014383
PAPUA PEGUNUNGAN,2023,27.845,22.366807498991434,18.98150754265766,21.210413529957897,0.29596865570538533
ACEH,2024,13.435,9.429531956300117,9.080588329688432,8.624831903908316,-0.053025327657765686
SUMATERA UTARA,2024,7.59,9.505729588006027,8.642073463050053,8.259020947957318,0.016052453716056903
SUMATERA BARAT,2024,5.695,10.820959461972855,9.415343713516577,9.029591237647047,0.0737302463348275
RIAU,2024,6.515000000000001,6.4768510182224475,9.735407741367272,9.438002562011206,0.03416074952978043
JAMBI,2024,7.18,8.743574029068242,10.613985848729069,10.446013903507449,-0.1453479294993869
SUMATERA SELATAN,2024,10.74,8.652537097640774,10.6407500840204,10.443469846392595,-0.28483632121639246
